LFARG,LFFUNC,LFVAL
кантон,LOC,в
понедельник,LOC,в
результат,ADV2-UN,в
кантон,LOC,в
пожар,MAGN,сильный
пожар,INCEPFUNC0,возникать
катар,LOC,в
город,LOC,в
ранение,INCEPOPER1,получать
стрельба,INCEPOPER1,открывать
киркук,LOC,в
город,LOC,в
окраина,LOC,на
контроль,INCEPOPER1,устанавливать
регион,LOC,в
мосул,LOC,в
территория,LOC,на
данные,ADV2-UN,по
рейд,FUNC0,состояться
район,LOC,в
разведданные,S0_INCEPOPER1,сбор
москва,LOC,в
столкновение,FUNC0,происходить
понедельник,LOC,в
улица,LOC,на
пятница,LOC,в
здание,LOC,в
парламент,CAP,спикер
отрицать,MAGN,полностью
долина,LOC,в
борода,MAGN,окладистый
место,LOC,на
ограничение,CAUSFUNC2,накладывать
север,LOC,на
граница,LOC,на
давление,ADV2-UN,под
день,LOC,в
посредничество,ADV2-UN,при
эгида,ADV2-UN,под
территория,LOC,на
пятница,LOC,в
иерусалим,LOC,в
ущерб,OPER1,наносить
пятница,LOC,в
свидетельство,CAUSFUNC1,вручать
свидетельство,S0_CAUSFUNC1,вручение
надежда,MANIF,выражать
понедельник,LOC,в
монтеррей,LOC,в
интернет,LOC,в
великобритания,LOC,в
теракт,OPER1,совершать
сша,LOC,в
опасность,OPER1,представлять
сеть,LOC,в
ирак,LOC,в
сомнение,LABOR1-2,подвергать
выгода,INCEPOPER1,извлекать
фильм,CAUSFUNC0,снимать
служба,S0_OPER1,несение
улица,LOC,на
двигатель,LIQUFACT0,заглушать
понедельник,LOC,в
данные,ADV2-UN,по
место,LOC,на
результат,ADV2-UN,в
москва,LOC,в
понедельник,LOC,в
число,FUNC2,достигать
москва,LOC,в
ирак,LOC,в
опрос,OPER1,проводить
операция,OPER1,проводить
поддержка,ADV2-UN,при
опрос,OPER1,проводить
россия,LOC,в
конфликт,OPER1,быть
азия,LOC,в
встреча,FUNC0,состояться
начало,LOC,в
обязанность,INCEPFUNC1,ложиться
участие,OPER1,принимать
роль,ADV1-UN,в
филиппины,LOC,на
собрание,FUNC0,состояться
время,LOC,в
сша,LOC,в
сша,LOC,в
москва,LOC,в
ответственность,INCEPOPER1,брать
требование,OPER1,выдвигать
нью-йорк,LOC,в
телефон,ADV2-UN,по
россия,LOC,в
звонок,OPER1,делать
троллейбус,CAP,водитель
дело,CAUSFUNC0,возбуждать
челябинск,LOC,в
стража,FINLABOR1-2,освобождать
восток,LOC,на
доклад,OPER1,выступать
вторник,LOC,в
участие,OPER1,принимать
саммит,FUNC0,проходить
мадрид,LOC,в
банк,CAP,президент
пятница,LOC,в
поездка,INCEPOPER1,отправляться
день,LOC,в
церемония,MAGN,торжественный
церемония,FUNC0,состояться
воскресенье,LOC,в
центр,LOC,в
премия,S0_OPER1,вручение
открытие,FUNC0,состояться
премия,S0_OPER1,вручение
группа,SING,член
выходной,LOC,в
взрыв,CAUSFUNC0,производить
поверхность,LOC,на
температура,ANTIMAGN,низкий
среда,LOC,в
ирак,LOC,в
акция,FUNC0,проходить
россия,LOC,в
акция,MAGN,массовый
митинг,FUNC0,состояться
город,LOC,в
сеул,LOC,в
костер,CAUSFUNC0,разжигать
войска,CAP,командующий
итог,CAUSFUNC0,подводить
пуск,OPER1,проводить
срок,LOC,в
задача,CAUSFACT0-M,выполнять
праздник,FUNC0,проходить
воскресенье,LOC,в
площадь,LOC,на
центр,LOC,в
участие,OPER1,принимать
выставка,LOC,на
мир,LOC,в
рынок,LOC,на
заявление,OPER1,выступать
будапешт,LOC,в
воскресенье,LOC,в
приглашение,OPER2,получать
начало,LOC,в
воскресенье,LOC,в
государство,LOC,в
аравия,LOC,в
удар,S0_OPER1,нанесение
операция,OPER1,проводить
чечня,LOC,в
селение,LOC,в
алхан-юрт,LOC,в
наука,FUNC1,изучать
заседание,LOC,на
рубеж,LOC,на
понедельник,LOC,в
внимание,MAGN,особый
россия,LOC,в
помощь,S0_OPER1,оказание
администрация,CAP,глава
москва,LOC,в
мнение,MANIF,высказывать
действие,ANTIVER,противозаконный
хаос,S0_INCEPFUNC0,возникновение
москва,LOC,в
суббота,LOC,в
данные,ADV2-UN,по
бомба,CAUSFACT0,взрывать
борт,LOC,на
бомба,CAUSFACT0,взрывать
понедельник,LOC,в
волгоград,LOC,в
учет,OPER2,состоять
данные,ADV2-UN,по
санкция,FINOPER1,отменять
исламабад,LOC,в
санкция,INCEPOPER1,вводить
год,LOC,в
испытание,S0_OPER1,проведение
результат,ADV2-UN,в
понедельник,LOC,в
воскресенье,LOC,в
провинция,LOC,в
должность,OPER1,занимать
результат,ADV2-UN,в
расследование,OPER1,вести
борт,LOC,на
понедельник,LOC,в
ситуация,INCEPFUNC0,складываться
олимпиада,LOC,на
ситуация,INCEPFUNC0,складываться
олимпиада,LOC,на
взрыв,FUNC0,происходить
суббота,LOC,в
центр,LOC,в
ответственность,INCEPOPER1,брать
рынок,LOC,на
торги,FUNC0,проходить
предел,LOC,в
влияние,OPER1,оказывать
влияние,MAGN,серьезный
изменяться,MAGN,радикально
мир,LOC,в
вопрос,CAUSFACT0-M,решать
надеяться,MAGN,очень
понедельник,LOC,в
день,LOC,в
попытка,OPER1,предпринимать
восток,LOC,на
воскресенье,LOC,в
израиль,LOC,в
мера,OPER1,принимать
ответственность,FUNC1,лежать
афганистан,LOC,в
афганистан,LOC,в
афганистан,LOC,в
афганистан,LOC,в
чечня,LOC,в
ущелье,LOC,в
грузия,LOC,в
вопрос,OPER1,задавать
ответ,OPER1,давать
понедельник,LOC,в
трансляция,OPER1,вести
телефон,ADV2-UN,по
указание,OPER1,давать
вопрос,OPER1,задавать
проблема,CAUSFACT0-M,решать
судно,LOC,на
экипаж,SING,член
начало,LOC,в
океан,LOC,в
судно,EQUIP,экипаж
деятельность,OPER1,заниматься
выставка,FUNC0,проходить
июнь,LOC,в
время,LOC,в
сша,LOC,в
опасный,MAGN,крайне
регион,LOC,в
режим,REAL1-M,соблюдать
мера,OPER1,предпринимать
рамалла,LOC,в
результат,ADV2-UN,в
среда,LOC,в
берег,LOC,на
решение,OPER1,принимать
процесс,FUNC0,проходить
ранение,INCEPOPER1,получать
результат,ADV2-UN,в
граница,LOC,на
вторник,LOC,в
улица,LOC,на
участие,OPER1,принимать
улица,LOC,на
пятница,LOC,в
борьба,OPER1,вести
критика,OPER1,выступать
страна,LOC,в
теракт,OPER1,совершать
страна,LOC,в
борьба,OPER1,вести
пакистан,LOC,в
мир,LOC,в
индия,LOC,в
отклик,OPER2,встречать
дели,LOC,в
год,LOC,в
просьба,ADV2-UN,по
год,LOC,в
совещание,OPER1,проводить
переговоры,FUNC0,проходить
кремль,LOC,в
отношение,INCEPFUNC0,складываться
восток,LOC,на
обвинение,OPER1,предъявлять
документ,INCEPOPER1,получать
белград,LOC,в
воскресенье,LOC,в
четверг,LOC,в
критика,MAGN,резкий
критика,CAUSFUNC0,вызывать
храм,LOC,в
воскресенье,LOC,в
понедельник,LOC,в
год,LOC,в
вопрос,LABOR1-2,ставить
среда,LOC,в
москва,LOC,в
сведение,ADV2-UN,по
центр,LOC,в
изменение,CAUSFUNC0,вызывать
эфир,ADV1-UN,в
решение,OPER1,принимать
реклама,OPER1,давать
москва,LOC,в
приказ,ADV2-UN,по
речь,FUNC0,идти
четверг,LOC,в
запись,OPER1,делать
операция,S0_OPER1,проведение
пятница,LOC,в
сидней,LOC,в
место,LOC,на
юг,LOC,на
требование,ANTIREAL3-M,отвергать
характер,OPER1,носить
чечня,LOC,в
регион,LOC,в
искоренение,MAGN,полный
задача,REAL1-M,решать
место,LOC,в
паспорт,ANTIBON,фальшивый
мера,OPER1,принимать
понедельник,LOC,в
москва,LOC,в
россия,LOC,в
встреча,OPER1,проводить
сведение,ADV2-UN,по
информация,INCEPOPER1,собирать
неделя,LOC,на
решение,OPER1,принимать
работа,INCEPOPER1,начинать
правление,CAP,председатель
север,LOC,на
район,LOC,в
предприятие,MAGN,крупный
область,LOC,в
исследование,OPER1,проводить
юг,LOC,на
понедельник,LOC,в
заявление,OPER1,делать
оценка,OPER1,давать
улучшаться,MAGN,значительно
пятница,LOC,в
четверг,LOC,в
теракт,OPER1,осуществлять
москва,LOC,в
район,LOC,в
здание,LOC,в
зал,LOC,в
отчаяние,ADV1-UN,в
проблема,FUNC0,быть
смута,CAUSFUNC0,устраивать
зал,LOC,в
зал,LOC,в
зал,LOC,в
город,LOC,в
переговоры,OPER1,проводить
дамаск,LOC,в
среда,LOC,в
совет,LOC,в
март,LOC,в
бейрут,LOC,в
мера,VER,эффективный
понедельник,LOC,в
кремль,LOC,в
пакистан,LOC,в
результат,ADV2-UN,в
ранение,INCEPOPER1,получать
пакистан,LOC,в
ответственность,INCEPOPER1,брать
гана,LOC,в
борт,LOC,на
катастрофа,FUNC0,происходить
воскресенье,LOC,в
россия,LOC,в
пятница,LOC,в
храм,LOC,в
убежище,INCEPOPER2,получать
храм,LOC,в
храм,LOC,в
дверь,LIQUFACT0,открывать
храм,LOC,в
экспертиза,OPER1,проводить
территория,LOC,на
мера,S0_OPER1,принятие
законодательство,ANTIREAL2-M,противоречить
понедельник,LOC,в
показатель,FUNC2,составлять
день,LOC,в
изменение,CAUSFUNC1,вносить
среда,LOC,в
центр,LOC,в
томск,LOC,в
участие,OPER1,принимать
работа,INCEPOPER1,начинать
томск,LOC,в
связь,FINOPER1,терять
самолет,LOC,в
дагестан,LOC,в
инцидент,FUNC0,происходить
пятница,LOC,в
район,LOC,в
повреждение,OPER1,наносить
повреждение,ANTIMAGN,незначительный
дело,CAUSFUNC0,возбуждать
война,OPER1,вести
цитата,OPER1,приводить
свобода,LIQUFUNC1,отнимать
россия,LOC,в
дело,CAUSFUNC0,возбуждать
германия,LOC,в
данные,ADV2-UN,по
данные,ADV2-UN,по
закон,S0_ANTIREAL3-M,нарушение
информация,INCEPFUNC0,появляться
день,LOC,в
презентация,CAUSFUNC0,проводить
мероприятие,OPER1,проводить
город,LOC,в
состав,OPER1,входить
неделя,LOC,на
будущее,LOC,в
понедельник,LOC,в
парламент,LOC,в
столица,LOC,в
день,LOC,в
неделя,LOC,на
понедельник,LOC,в
город,LOC,в
выходной,LOC,в
москва,LOC,в
данные,ADV2-UN,по
столица,LOC,в
операция,OPER1,проводить
грозный,LOC,в
роль,CAUSFUNC1,отводить
воскресенье,LOC,в
командование,ADV2-UN,под
обвинение,OPER1,предъявлять
арест,INCEPLABOR1-2,брать
ответственность,CAUSFUNC1,возлагать
мнение,ADV2-UN,по
мера,OPER1,применять
мера,MAGN,жесткий
мнение,ADV2-UN,по
мера,MAGN,жесткий
поддержка,ADV2-UN,при
машина,INCEPREAL1,садиться
воскресенье,LOC,в
валенсия,LOC,в
вопрос,OPER1,задавать
название,CAUSFUNC1,давать
имя,CAUSFUNC1,давать
имя,CAUSFUNC1,давать
имя,INCEPOPER1,получать
имя,CAUSFUNC1,давать
цель,OPER1,преследовать
рекомендация,OPER1,давать
поезд,MAGN,скорый
авария,MAGN,крупный
четверг,LOC,в
поезд,CAP,машинист
пригород,LOC,в
повреждение,OPER2,получать
гудермес,LOC,в
воскресенье,LOC,в
дом,LIQUFUNC0,сносить
участие,OPER1,принимать
год,LOC,в
мнение,ADV2-UN,по
регион,LOC,в
данные,ADV2-UN,по
время,LOC,в
правительство,VER,законный
мнение,ADV2-UN,по
переговоры,OPER1,проводить
кулуар,LOC,в
время,LOC,в
комиссия,CAP,председатель
предложение,OPER1,делать
форма,ADV1-UN,в
время,LOC,в
решение,OPER1,принимать
германия,LOC,в
форум,LOC,на
важный,MAGN,чрезвычайно
участие,OPER1,принимать
давос,LOC,в
мнение,ADV2-UN,по
восток,LOC-AD,на
решение,OPER1,принимать
воскресенье,LOC,в
поездка,OPER1,совершать
северо-запад,LOC,на
псков,LOC,в
понедельник,LOC,в
вторник,LOC,в
год,LOC,в
год,LOC,в
угроза,FUNC2,нависать
мнение,ADV2-UN,по
курс,FUNC3,составлять
решение,OPER1,принимать
март,LOC,в
год,LOC,в
закон,CAUSFUNC0,принимать
среда,LOC,в
ответственность,FUNC1,лежать
страна,LOC,в
отношение,INCEPFUNC0,складываться
мир,LOC,в
воскресенье,LOC,в
восток,LOC,на
территория,LOC,на
удар,OPER1,наносить
подготовка,FUNC0,идти
мера,OPER1,принимать
задача,REAL1-M,выполнять
чечня,LOC,в
известный,MAGN,хорошо
чечня,LOC,в
результат,ADV2-UN,в
теракт,OPER1,совершать
число,FUNC2,достигать
берег,LOC,на
воскресенье,LOC,в
план,ANTIREAL1-M,срывать
сентябрь,LOC,в
нью-йорк,LOC,в
доступ,INCEPOPER1,получать
подвал,LOC,в
восток,LOC,на
понедельник,LOC,в
город,LOC,в
лес,LOC,в
дело,CAUSFUNC0,возбуждать
информация,OPER1,располагать
работа,INCEPOPER1,устраиваться
место,LOC,на
уважение,LABOR1-2,относиться
положение,ADV1-UN,в
зарплата,OPER1,получать
муж,OPER2,иметь
одобрение,OPER2,получать
четверг,LOC,в
кремль,LOC,в
момент,LOC,в
встреча,OPER1,проводить
иордания,LOC,в
встреча,CAUSFUNC0,проводить
встреча,OPER1,проводить
переговоры,OPER1,проводить
город,LOC,в
неделя,LOC,на
иерусалим,LOC,в
встреча,FUNC0,проходить
акаба,LOC,в
представление,FUNC0,состояться
площадь,LOC,на
салют,OPER1,устраивать
зима,FUNC0,стоять
год,LOC,в
участие,OPER1,принимать
москва,LOC,в
визит,LABOR1-2,посещать
неделя,LOC,на
участие,OPER1,принимать
понедельник,LOC,в
речь,FUNC0,пойти
ущелье,LOC,в
абхазия,LOC,в
сектор,LOC,в
бизнес,ANTIMAGN,малый
понедельник,LOC,в
год,LOC,в
проверка,OPER2,проходить
список,LOC,в
москва,LOC,в
стоимость,FUNC2,составлять
база,LOC,на
результат,ADV2-UN,в
правительство,CAP,глава
переговоры,OPER1,проводить
встреча,FUNC0,состояться
понедельник,LOC,в
правительство,CAP,глава
суббота,LOC,в
ущелье,LOC,в
вопрос,S0_CAUSFACT0-M,решение
ущелье,LOC,в
старт,LOC,на
поединок,FUNC0,проходить
понедельник,LOC,в
скот,SING,голова
аравия,LOC,в
праздник,REAL1-M,отмечать
скот,SING,голова
год,LOC,в
молитва,OPER1,читать
паломничество,OPER1,совершать
мекка,LOC,в
страна,LOC,в
согласие,S0_INCEPOPER1,достижение
информация,OPER1,располагать
информация,INCEPOPER1,получать
время,LOC,в
выстрел,OPER1,производить
сша,LOC,в
залив,LOC,в
среда,LOC,в
место,LOC,на
сфера,LOC,в
категория,OPER1,относиться
центр,LOC,в
основа,OPER1,лежать
реформа,OPER1,проводить
речь,FUNC0,пойти
момент,INCEPFUNC0,наступать
рынок,LOC,на
прогноз,FACT0,сбываться
перемена,FUNC0,происходить
рынок,LOC,на
время,INCEPFUNC0,приходить
рынок,LOC-AD,на
сомнение,MAGN,большой
уровень,OPER1,находиться
сша,LOC,в
неделя,LOC,на
сша,LOC,в
предположение,CAUSFACT0-M,подтверждать
страна,LOC,в
день,LOC,в
рынок,LOC,на
сша,LOC,в
восток,LOC,на
мера,OPER1,предпринимать
мнение,ADV2-UN,по
страна,LOC,в
фактор,MAGN,важный
восток,LOC,на
аналогия,CAUSFUNC0,проводить
афганистан,LOC,в
территория,LOC,на
восток,LOC,на
надежда,FACT0-M,оправдываться
операция,OPER1,проводить
сомнение,CAUSFUNC1,сеять
польза,LABOR1-2,идти
цена,MAGN,высокий
препятствие,OPER1,чинить
уровень,LOC,на
поддержка,ADV2-UN,при
восток,LOC,на
уровень,LOC,на
влиять,ANTIBON,негативно
стоимость,ANTIMAGN,низкий
вопрос,S0_CAUSFACT0-M,решение
вещание,OPER1,осуществлять
решение,REAL1-M,выполнять
барнаул,LOC,в
среда,LOC,в
убийство,S0_OPER1,совершение
работа,OPER1,выполнять
разногласие,INCEPFUNC0,возникать
начало,LOC,в
убыток,OPER1,понести
просьба,LABOR1-2,обращаться
петербург,LOC,в
телефон,ADV2-UN,по
осмотр,OPER1,проводить
мнение,ADV2-UN,по
форум,LOC,на
москва,LOC,в
темп,ANTIMAGN,низкий
снг,LOC,в
доля,FUNC2,составлять
конференция,LOC,на
основание,ADV2-UN,на
продажа,INCEPOPER2,поступать
заказ,ADV2-UN,по
фабрика,LOC,на
доход,OPER1,получать
вывод,OPER1,делать
среда,LOC,в
москва,LOC,в
россия,LOC,в
вич,CAUSOPER1,заражать
россия,LOC,в
подсчет,OPER1,проводить
область,LOC,в
село,LOC,в
преступление,S0_OPER1,совершение
понедельник,LOC,в
приговор,S0_OPER1,вынесение
момент,LOC,в
приказ,OPER3,получать
возраст,ADV1-UN,в
информация,INCEPOPER1,получать
октябрь,LOC,в
воскресенье,LOC,в
данные,ADV2-UN,по
подтверждение,OPER3,находить
мера,OPER1,предпринимать
паника,CAUSFUNC0,вызывать
коалиция,OPER1,входить
мнение,ADV2-UN,по
связь,CAUSFUNC0,налаживать
переговоры,OPER1,проводить
участие,OPER1,принимать
время,LOC,в
центр,LOC,в
требование,LABOR1-2,обращаться
время,LOC,в
чечня,LOC,в
война,LIQUFUNC0,останавливать
телефон,ADV2-UN,по
чечня,LOC,в
война,LIQUFUNC0,останавливать
митинг,FUNC0,идти
площадь,LOC,на
митинг,S0_OPER1,проведение
просьба,LABOR1-2,обращаться
чечня,LOC,в
площадь,LOC,на
митинг,S0_OPER1,проведение
разрешение,OPER3,получать
площадь,LOC,на
время,LOC,в
год,LOC,в
год,LOC,в
план,REAL1-M,выполнять
год,LOC,в
год,LOC,в
расход,FUNC2,составлять
год,LOC,в
неделя,LOC,на
год,LOC,в
финансирование,OPER2,получать
право,OPER1,иметь
основа,ADV2-UN,на
основа,ADV2-UN,на
вероятный,MAGN,вполне
поднимать,MAGN,резко
россия,LOC,в
ухудшаться,MAGN,резко
рынок,LOC-AD,на
москва,LOC,в
вуз,LOC,в
рынок,LOC,на
провинция,LOC,в
королевство,LOC,в
ноябрь,LOC,в
великобритания,LOC,в
понедельник,LOC,в
год,LOC,в
возраст,ADV1-UN,в
понедельник,LOC,в
пост,S0_FINOPER1,уход
внимание,OPER1,обращать
устюг,LOC,в
праздник,CAUSFUNC0,проводить
устюг,LOC,в
год,S0_INCEPFUNC0,наступление
интернет,LOC,в
сеть,LOC,в
сеть,LOC,в
год,LOC,в
доступ,OPER1,иметь
год,LOC,в
уровень,LOC,на
последствие,OPER1,приводить
пример,OPER2,служить
заседание,FUNC0,проходить
пятница,LOC,в
уссурийск,LOC,в
уссурийск,LOC,в
акция,S0_OPER1,проведение
разговор,FUNC0,состояться
вопрос,OPER1,поднимать
город,LOC,в
помощь,S0_OPER1,оказание
услуга,OPER1,оказывать
контроль,OPER1,осуществлять
условие,ADV1-UN,при
эксперимент,OPER1,проводить
уссурийск,LOC,в
просьба,LABOR1-2,обращаться
рекомендация,OPER1,давать
разъяснение,OPER1,давать
запрос,OPER1,делать
сила,INCEPOPER1,вступать
право,OPER1,иметь
шанс,FUNC1,быть
возможность,FUNC0,быть
декабрь,LOC,в
вопрос,S0_REAL3-M,ответ
время,LOC,в
политика,OPER1,проводить
темп,MAGN,высокий
задача,CAUSFUNC0,ставить
программа,CAUSFUNC0,принимать
база,LOC,на
задача,CAUSFACT0-M,решать
результат,CAUSFUNC0,добиваться
год,LOC,в
реформа,OPER1,проводить
право,VER,законный
англия,LOC,в
норвегия,LOC,в
венесуэла,LOC,в
страна,LOC,в
сверхприбыль,OPER1,получать
механизм,FACT0,работать
роль,OPER1,сыграть
роль,MAGN,важный
речь,FUNC0,идти
основа,ADV2-UN,на
стоимость,MAGN,высокий
темп,MAGN,высокий
конкуренция,REAL2-M,выдерживать
мир,LOC,в
будущее,LOC,в
шанс,FUNC1,быть
возможность,FUNC0,быть
мощь,INCEPOPER1,набирать
год,LOC,в
сфера,LOC,в
страна,LOC,в
страна,LOC,в
европа,LOC,в
америка,LOC,в
страна,LOC,в
темп,MAGN,высокий
возможность,FUNC0,быть
основа,OPER1,лежать
пример,OPER1,приводить
вывод,OPER1,приходить
уфо,LOC,в
год,LOC,в
дело,CAUSFUNC0,возбуждать
уфо,LOC,в
отдел,CAP,начальник
участие,OPER1,принимать
сбой,CAUSFUNC0,вызывать
решение,OPER1,принимать
решение,REAL1-M,исполнять
вердикт,OPER1,выносить
завод,CAP,директор
решение,OPER1,выносить
решение,OPER1,выносить
требование,REAL2-M,отвечать
реформа,FUNC0,идти
проблема,CAUSFACT0-M,решать
порядок,ADV1-UN,в
переговоры,OPER1,проводить
услуга,REAL2-M,прибегать
спор,CAUSFACT0-M,разрешать
помощь,OPER1,оказывать
решение,REAL1-M,выполнять
группа,CAP,директор
проблема,MAGN,большой
спор,S0_CAUSFACT0-M,решение
спор,INCEPFUNC0,возникать
услуга,REAL2-M,прибегать
австралия,LOC,в
функция,OPER1,выполнять
австралия,LOC,в
задержание,OPER1,производить
неделя,LOC,на
сидней,LOC,в
мельбурн,LOC,в
отношение,OPER1,иметь
большинство,OPER1,иметь
парламент,LOC,в
законопроект,CAUSFACT0-M,проводить
переговоры,INCEPOPER1,начинать
россия,LOC,в
госдума,LOC,в
предложение,REAL3-M,принимать
решение,OPER1,принимать
время,LOC,в
состояние,ADV1-UN,в
сфера,LOC,в
проблема,S0_CAUSFACT0-M,решение
предложение,ANTIREAL3-M,отказываться
версия,ADV1-UN,по
налог,LIQUFUNC0,отменять
осторожный,MAGN,крайне
комитет,CAP,председатель
мнение,ADV2-UN,по
мнение,OPER1,придерживаться
уменьшение,MAGN,резкий
доход,FUNC2,составлять
год,LOC,в
ндс,LABOR1-2,облагать
зарплата,OPER3,платить
цель,MAGN,конечный
страна,LOC,в
поступление,FUNC2,составлять
год,LOC,в
прогноз,MAGN,точный
уровень,MAGN,высокий
доход,OPER1,получать
пенсия,OPER3,выплачивать
проблема,CAUSFACT0-M,решать
налог,S0_LIQUFUNC0,отмена
поступление,FUNC2,составлять
налог,S0_LIQUFUNC0,отмена
налог,LABOR1-2,облагать
петербург,LOC,в
данные,ADV2-UN,по
период,LOC,в
сфера,LOC,в
помощь,REAL2-M,прибегать
россия,LOC,в
возможность,INCEPOPER1,получать
аспирантура,REAL1,учиться
концерт,OPER1,исполнять
август,LOC,в
день,LOC,в
год,LOC,в
рост,FUNC2,составлять
июль,LOC,в
просьба,ADV2-UN,по
мнение,MANIF,выражать
сентябрь,LOC,в
заседание,CAUSFUNC0,проводить
результат,OPER1,давать
результат,BON,хороший
рост,MAGN,быстрый
значение,MAGN,большой
значение,CAUSFUNC1,придавать
цена,MAGN,высокий
распоряжение,INCEPOPER2,оказываться
интерес,OPER2,представлять
интерес,MAGN,особый
изменение,CAUSFUNC1,вносить
цена,CAUSFUNC0,устанавливать
уровень,LOC,на
условие,ADV1-UN,при
перспектива,ADV1-UN,в
условие,ADV1-UN,при
объем,OPER1,достигать
объем,FUNC2,достигать
перспектива,ADV1-UN,в
средство,S0_REAL1,использование
уровень,LOC,на
уровень,LOC,на
уровень,LOC,на
страна,LOC,в
год,LOC,в
перспектива,ADV1-UN,в
выборы,FUNC0,проходить
самара,LOC,в
понимать,MAGN,прекрасно
вызов,OPER1,бросать
изучение,MAGN,детальный
партия,MAGN,влиятельный
дума,LOC,в
вопрос,ADV2-UN,под
кпрф,LOC,в
поддержка,FINLABOR1-2,лишать
союз,CAUSFUNC0,заключать
преимущество,OPER1,иметь
враг,INCEPOPER1,наживать
контроль,INCEPOPER1,получать
конец,LOC,в
год,FINFUNC0,проходить
период,LOC,в
революция,FUNC0,происходить
год,LOC,в
россия,LOC,в
год,LOC,в
цель,S0_REAL1-M,достижение
эксперимент,OPER1,проводить
театр,LOC,в
начало,LOC,в
эксперимент,OPER1,проводить
время,LOC,в
состояние,ADV1-UN,в
путь,LOC,на
перемена,MAGN,коренной
возможность,ANTIREAL1-M,упускать
время,LOC,в
база,LOC,на
мера,OPER1,принимать
база,ADV2-UN,на
вопрос,CAUSFACT0-M,решать
вопрос,S0_CAUSFACT0-M,решение
сопротивление,REAL2-M,преодолевать
характер,OPER1,носить
состояние,OPER1,быть
цель,LABOR1-2,ставить
убеждение,MAGN,глубокий
время,LOC,в
стадия,S0_INCEPFUNC0,наступление
цель,REAL1-M,добиваться
слава,MAGN,вечный
срок,LOC,в
результат,ADV2-UN,в
срок,LOC,в
ошибка,REAL1-M,исправлять
ноша,MAGN,тяжелый
год,LOC,в
результат,ADV2-UN,в
время,LOC,в
вопрос,OPER1,задавать
страна,LOC,в
опыт,INCEPOPER1,накапливать
забывать,MAGN,начисто
объяснение,REAL2-M,поддаваться
возмущение,VER,справедливый
ситуация,INCEPFUNC0,складываться
мысль,INCEPFUNC0,приходить
порядок,CAUSFUNC0,наводить
лепта,OPER1,вносить
доступ,OPER1,иметь
россия,LOC,в
россия,LOC,в
вкус,BON,хороший
париж,LOC,в
улица,LOC,на
государство,LOC,в
внимание,OPER1,обращать
внимание,CAUSFUNC0,обращать
школа,REAL1,ходить
улица,LOC,на
памперс,INCEPREAL1,надевать
джинсы,INCEPREAL1,надевать
школа,REAL1,ходить
экзамен,OPER2,сдавать
туфля,REAL1,носить
образование,INCEPOPER2,получать
франция,LOC,в
москва,LOC,в
париж,LOC,в
смысл,FINOPER1,утрачивать
мера,MAGN,полный
деталь,ANTIMAGN,мелкий
расстояние,LOC,на
расстояние,ADV1-UN,на
поиск,OPER1,заниматься
париж,LOC,в
село,LOC,в
путь,OPER1,проходить
бой,LOC,в
битва,LOC,в
академия,REAL1,оканчивать
служба,OPER1,проходить
центр,LOC,в
область,LOC,в
сфера,LOC,в
страна,LOC,в
доклад,OPER1,выступать
год,LOC,в
название,INCEPOPER1,получать
конференция,LOC,на
белоруссия,LOC,в
год,LOC,в
участие,OPER1,принимать
участие,VER,непосредственный
время,LOC,в
страница,LOC,на
известный,MAGN,хорошо
цель,CAUSFUNC1,ставить
цель,S0_REAL1-M,достижение
предпочтение,OPER1,отдавать
задача,S0_CAUSFACT0-M,решение
область,LOC,в
проблема,S0_CAUSFACT0-M,решение
различие,MAGN,серьезный
вуз,INCEPREAL1,поступать
образование,INCEPOPER2,получать
диссертация,REAL1-M,защищать
вуз,LOC,в
опыт,INCEPOPER1,накапливать
возможность,OPER1,иметь
работа,OPER1,вести
образование,INCEPOPER2,получать
звание,INCEPOPER1,получать
опыт,INCEPOPER1,приобретать
академия,INCEPREAL1,поступать
диссертация,REAL1-M,защищать
диссертация,REAL1-M,защищать
опыт,INCEPOPER1,получать
опыт,MAGN,богатый
век,LOC,в
роль,OPER1,играть
опыт,OPER1,иметь
право,OPER1,иметь
требование,REAL3-M,выполнять
право,OPER1,иметь
конференция,REAL1-M,выступать
высота,ADV1-UN,на
вывод,OPER1,приходить
основание,ADV2-UN,на
база,LOC,на
база,ADV2-UN,на
время,LOC,в
знание,REAL1,использовать
решение,ADV2-UN,по
должность,MAGN,высокий
степень,MAGN,высокий
знание,INCEPOPER1,получать
звание,BON,почетный
ущерб,OPER1,наносить
убийство,ANTIBON,жестокий
преступление,MAGN,тяжкий
управление,OPER1,осуществлять
основа,ADV2-UN,на
популярность,OPER1,пользоваться
проблема,CAUSFACT0-M,решать
условие,CAUSFUNC0,создавать
награда,LIQUOPER2,лишать
преступление,MAGN,тяжкий
время,LOC,в
решение,ADV2-UN,по
бой,LOC,в
основание,ADV2-UN,на
предел,LOC,в
факультет,LOC,на
список,LOC,в
факультет,INCEPREAL1,поступать
год,LOC,в
кафедра,OPER1,заведовать
новгород,LOC,в
столетие,FINFUNC0,проходить
начало,LOC,в
раскопка,OPER1,вести
язык,REAL1,говорить
методика,CAUSFUNC0,разрабатывать
результат,CAUSFUNC0,получать
стол,INCEPREAL1,садиться
новгород,LOC,в
успех,MAGN,больший
различие,OPER1,иметь
юг,LOC,на
север,LOC,на
